section_code,section_name,principle_number,sub_section,question_number,question_text,question_type,placeholder_text,options
section_a,General Disclosures,,,24i,"Whether CSR is applicable as per section 135 of Companies Act, 2013",radio,"Select 'Yes' if the entity meets the criteria for CSR applicability (net worth > Rs. 500 Cr, turnover > Rs. 1000 Cr, or net profit > Rs. 5 Cr), else 'No'.","Yes|No"
section_a,General Disclosures,,,24ii,Turnover (in Rs.),number,Enter the total turnover of the entity in Indian Rupees as per the latest audited financial statements (for CSR applicability check).,
section_a,General Disclosures,,,24iii,Net worth (in Rs.),number,Enter the net worth of the entity in Indian Rupees as per the latest audited balance sheet (for CSR applicability check).,
section_a,General Disclosures,,,25,Complaints/Grievances on any of the principles (Principles 1 to 9),table,"Provide details of complaints/grievances received during the financial year categorized by each principle (P1-P9), status, and resolution.",
section_a,General Disclosures,,,26,Overview of the entity's material responsible business conduct issues (risks/opportunities),table,"Provide a summary of material ESG/sustainability risks and opportunities identified, along with their impact and management approach.",
section_b,Management and Process Disclosures,,Policy and management processes,1a,Whether entity's policy/policies cover each principle and its core elements of the NGRBCs (per principle P1-P9),table,"For each principle, indicate if a policy exists (Yes/No/Under Development) and provide a brief description of the policy coverage.",
section_b,Management and Process Disclosures,,Policy and management processes,1b,Has the policy been approved by the Board?,radio,Select 'Yes' if the policies listed above have been formally approved by the Board of Directors. Otherwise select 'No'.,"Yes|No"
section_b,Management and Process Disclosures,,Policy and management processes,1c,"Web link of the policies, if available",url,"Provide the URL where the policies are publicly available on the entity's website. If not available, mention 'Not available'.",
section_b,Management and Process Disclosures,,Policy and management processes,2,Whether the entity has translated the policy into procedures (per principle),table,"For each principle, indicate whether the policy has been translated into operational procedures/guidelines (Yes/No/Partially).",
section_b,Management and Process Disclosures,,Policy and management processes,3,Do the enlisted policies extend to your value chain partners? (per principle),table,"For each principle, indicate if the policy applies to value chain partners (Yes/No/Partially). If 'No' for any, provide reason.",
section_b,Management and Process Disclosures,,Policy and management processes,4,"Name of national/international codes/certifications/labels/standards adopted, mapped to each principle",table,"List codes/certifications/standards (e.g., ISO 14001, SA8000, GRI) adopted by the entity for each principle. Mention the standard and applicability.",
section_b,Management and Process Disclosures,,Policy and management processes,5,"Specific commitments, goals and targets set by the entity with defined timelines (per principle)",table,"For each principle, list specific ESG/sustainability commitments, goals, and targets with their timelines (e.g., reduce carbon emissions by 30% by 2030).",
section_b,Management and Process Disclosures,,Policy and management processes,6,"Performance of the entity against specific commitments, goals and targets (per principle)",table,"For each principle, provide progress/performance against the commitments, goals, and targets set. Include achievements and gaps.",
section_b,Management and Process Disclosures,,"Governance, leadership and oversight",7,"Statement by director responsible for the BRSR report, highlighting ESG challenges, targets and achievements",textarea,"Provide a statement from the responsible director covering ESG challenges, targets set, achievements, and the way forward. This is a narrative section.",
section_b,Management and Process Disclosures,,"Governance, leadership and oversight",8,Details of the highest authority responsible for implementation and oversight of the Business Responsibility policy/policies,textarea,"Specify the highest authority (e.g., Board Committee, CSR Committee, MD/CEO) responsible for implementing and overseeing Business Responsibility policies.",
section_b,Management and Process Disclosures,,"Governance, leadership and oversight",9,Does the entity have a specified Committee of the Board/Director responsible for decision making on sustainability related issues?,radio,"Select 'Yes' if there is a specific Board Committee (e.g., Sustainability Committee, ESG Committee) responsible for sustainability decisions. Else 'No'.","Yes|No"
section_b,Management and Process Disclosures,,"Governance, leadership and oversight",10,"Details of Review of NGRBCs by the Company (performance against policies, statutory compliance) - per principle",table,"For each principle, provide details of reviews conducted during the year, including performance against policies and compliance status.",
section_b,Management and Process Disclosures,,"Governance, leadership and oversight",11,Has the entity carried out independent assessment/evaluation of the working of its policies by an external agency? (per principle),table,"For each principle, indicate if an external agency has conducted an independent assessment of policy effectiveness (Yes/No/In Progress).",
section_b,Management and Process Disclosures,,"Governance, leadership and oversight",12,"If not all principles are covered by a policy, reasons to be stated (per principle)",table,"For principles where no policy exists, provide reasons for not having a policy. Leave blank if policy exists for all principles.",
section_c,"Principle 1: Businesses should conduct and govern themselves with integrity, and in a manner that is Ethical, Transparent and Accountable",1,Essential Indicators,1,Percentage coverage by training and awareness programmes on any of the principles during the financial year,table,"Provide the percentage of employees/workers covered by training and awareness programs on ethics, integrity, transparency, and accountability during the year.",
section_c,"Principle 1: Businesses should conduct and govern themselves with integrity, and in a manner that is Ethical, Transparent and Accountable",1,Essential Indicators,2,Details of fines/penalties/punishment/award/compounding fees/settlement amount paid in proceedings with regulators/law enforcement agencies/judicial institutions,table,"Provide details of any monetary penalties, fines, compounding fees, or settlements paid to regulators, law enforcement, or judicial authorities during the financial year.",
section_c,"Principle 1: Businesses should conduct and govern themselves with integrity, and in a manner that is Ethical, Transparent and Accountable",1,Essential Indicators,3,Details of Appeal/Revision preferred in cases where monetary or non-monetary action has been appealed,table,"Provide details of any appeals or revisions filed by the entity against regulatory or judicial actions, whether monetary or non-monetary in nature.",
section_c,"Principle 1: Businesses should conduct and govern themselves with integrity, and in a manner that is Ethical, Transparent and Accountable",1,Essential Indicators,4,Does the entity have an anti-corruption or anti-bribery policy? Provide details and web-link,textarea,State whether an anti-corruption/anti-bribery policy exists. Provide a brief description and attach a web link where the policy is available.,
section_c,"Principle 1: Businesses should conduct and govern themselves with integrity, and in a manner that is Ethical, Transparent and Accountable",1,Essential Indicators,5,Number of Directors/KMPs/employees/workers against whom disciplinary action was taken for bribery/corruption,table,"Provide counts of Directors, KMPs, employees, and workers against whom disciplinary action was taken for bribery or corruption charges during the year.",
section_c,"Principle 1: Businesses should conduct and govern themselves with integrity, and in a manner that is Ethical, Transparent and Accountable",1,Essential Indicators,6,Details of complaints about conflict of interest,table,"Provide number and nature of complaints received regarding conflicts of interest involving directors, KMPs, employees, or workers during the financial year.",
section_c,"Principle 1: Businesses should conduct and govern themselves with integrity, and in a manner that is Ethical, Transparent and Accountable",1,Essential Indicators,7,Details of corrective action taken on issues related to fines/penalties/corruption/conflicts of interest,textarea,"Describe the corrective actions taken by the entity to address any fines, penalties, corruption issues, or conflict of interest complaints identified during the year.",
section_c,"Principle 1: Businesses should conduct and govern themselves with integrity, and in a manner that is Ethical, Transparent and Accountable",1,Essential Indicators,8,Number of days of accounts payables,table,Provide the average number of days taken to pay suppliers/vendors (Accounts Payable Turnover in days). Calculate as (Avg. Payables / Daily Credit Purchases).,
section_c,"Principle 1: Businesses should conduct and govern themselves with integrity, and in a manner that is Ethical, Transparent and Accountable",1,Essential Indicators,9,"Concentration of purchases and sales with trading houses, dealers, related parties, loans/advances & investments",table,"Provide data on concentration of purchases and sales with trading houses, dealers, related parties, and details of loans/advances/investments given to related parties.",
section_c,"Principle 1: Businesses should conduct and govern themselves with integrity, and in a manner that is Ethical, Transparent and Accountable",1,Leadership Indicators,1,Awareness programs conducted for value chain partners on any of the principles during the financial year,table,Provide details of awareness/training programs conducted for value chain partners on the principles of the NGRBCs during the financial year.,
section_c,"Principle 1: Businesses should conduct and govern themselves with integrity, and in a manner that is Ethical, Transparent and Accountable",1,Leadership Indicators,2,Does the entity have processes to avoid/manage conflict of interests involving members of the Board?,textarea,"Describe the processes and mechanisms in place to identify, avoid, and manage conflicts of interest among Board members.",
section_c,Principle 2: Businesses should provide goods and services in a manner that is sustainable and safe,2,Essential Indicators,1,Percentage of R&D and capex investments in specific technologies to improve environmental/social impacts,table,Provide the percentage of total R&D and capital expenditure invested in technologies aimed at improving environmental and/or social impacts.,
section_c,Principle 2: Businesses should provide goods and services in a manner that is sustainable and safe,2,Essential Indicators,2a,Does the entity have procedures in place for sustainable sourcing?,radio,Select 'Yes' if the entity has formal procedures/policies for sustainable sourcing of raw materials and inputs. Otherwise select 'No'.,"Yes|No"
section_c,Principle 2: Businesses should provide goods and services in a manner that is sustainable and safe,2,Essential Indicators,2b,"If yes, what percentage of inputs were sourced sustainably?",number,"If sustainable sourcing is practiced, enter the percentage of total inputs (by value or volume) that were sourced from sustainable sources.",
section_c,Principle 2: Businesses should provide goods and services in a manner that is sustainable and safe,2,Essential Indicators,3,"Processes in place to safely reclaim products for reusing, recycling and disposing at end of life (plastics, e-waste, hazardous waste, other waste)",textarea,"Describe the processes for safe reclamation, reuse, recycling, and disposal of products at end-of-life, covering plastics, e-waste, hazardous waste, etc.",
section_c,Principle 2: Businesses should provide goods and services in a manner that is sustainable and safe,2,Essential Indicators,4,Whether Extended Producer Responsibility (EPR) is applicable; is waste collection plan in line with EPR plan submitted to Pollution Control Boards?,textarea,"If EPR is applicable, confirm if the waste collection plan aligns with the EPR plan submitted to the Pollution Control Board. Provide details and plan summary.",
section_c,Principle 2: Businesses should provide goods and services in a manner that is sustainable and safe,2,Essential Indicators,5,Has the entity conducted Life Cycle Perspective/Assessments (LCA) for any of its products/services?,table,"For each product/service category, indicate whether a Life Cycle Assessment (LCA) has been conducted (Yes/No/In Progress).",
section_c,Principle 2: Businesses should provide goods and services in a manner that is sustainable and safe,2,Essential Indicators,6,Significant social or environmental concerns/risks identified in LCA and action taken to mitigate,textarea,"Based on LCA findings, describe significant social or environmental risks identified and the actions taken to mitigate them.",
section_c,Principle 2: Businesses should provide goods and services in a manner that is sustainable and safe,2,Leadership Indicators,1,Percentage of recycled or reused input material to total material used in production,table,"Provide the percentage of recycled or reused materials used as inputs in production, categorized by material type (plastic, metal, paper, etc.).",
section_c,Principle 2: Businesses should provide goods and services in a manner that is sustainable and safe,2,Leadership Indicators,2,"Of products and packaging reclaimed at end of life, amount reused, recycled and safely disposed of",table,"Provide the quantity of products and packaging reclaimed at end-of-life, and the amounts reused, recycled, and safely disposed of.",
section_c,Principle 2: Businesses should provide goods and services in a manner that is sustainable and safe,2,Leadership Indicators,3,"Reclaimed products and their packaging materials as percentage of products sold, per product category",table,"Provide the percentage of reclaimed products and packaging materials relative to total products sold, broken down by product category.",
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Essential Indicators,1a,"Details of measures for the well-being of employees (health insurance, accident insurance, maternity, paternity, day care)",table,"Provide details of employee well-being measures, including health insurance, accident insurance, maternity/paternity benefits, and day care facilities.",
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Essential Indicators,1b,"Details of measures for the well-being of workers (health insurance, accident insurance, maternity, paternity, day care)",table,"Provide details of worker well-being measures, including health insurance, accident insurance, maternity/paternity benefits, and day care facilities for workers.",
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Essential Indicators,1c,Spending on measures towards well-being of employees and workers,table,"Provide the total amount (in Rs.) spent on employee and worker well-being programs during the financial year, broken down by category.",
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Essential Indicators,2,"Details of retirement benefits (PF, Gratuity, ESI, others)",table,"Provide details of retirement benefits provided to employees and workers, including Provident Fund (PF), Gratuity, ESI, Pension, and other benefits.",
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Essential Indicators,3,Accessibility of workplaces to differently abled employees and workers,textarea,"Describe the measures taken to ensure workplaces are accessible for differently abled employees and workers (ramps, accessible washrooms, assistive technology, etc.).",
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Essential Indicators,4,"Does the entity have an equal opportunity policy as per the Rights of Persons with Disabilities Act, 2016?",textarea,"State whether the entity has an equal opportunity policy compliant with the Rights of Persons with Disabilities Act, 2016. Provide details of the policy and its implementation.",
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Essential Indicators,5,Return to work and Retention rates of permanent employees and workers that took parental leave,table,Provide the return-to-work rate and retention rate for permanent employees and workers who took parental leave during the year.,
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Essential Indicators,6,Mechanism available to receive and redress grievances for employees and workers,textarea,Describe the grievance redressal mechanisms available for employees and workers to report and resolve their concerns/complaints.,
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Essential Indicators,7,Membership of employees and workers in association(s) or Unions recognized by the listed entity,table,Provide the number of employees and workers who are members of trade unions or employee associations recognized by the listed entity.,
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Essential Indicators,8,"Details of training given to employees and workers (health and safety, skill upgradation)",table,"Provide details of training programs conducted for employees and workers, categorized into health and safety training, skill upgradation/technical training, and other training.",
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Essential Indicators,9,Details of performance and career development reviews of employees and workers,table,Provide the percentage of employees and workers who underwent performance and career development reviews during the year.,
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Essential Indicators,10a,Whether an occupational health and safety management system has been implemented; coverage,textarea,"State whether an occupational health and safety management system (e.g., ISO 45001) has been implemented and describe its coverage across locations/workplaces.",
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Essential Indicators,10b,Processes used to identify work-related hazards and assess risks,textarea,Describe the processes and methodologies used to identify work-related hazards and assess occupational health and safety risks in the workplace.,
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Essential Indicators,10c,Processes for workers to report work-related hazards and remove themselves from risk,textarea,Describe the processes available for workers to report work-related hazards and the measures that allow them to remove themselves from risk without fear of reprisal.,
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Essential Indicators,10d,Do employees/workers have access to non-occupational medical and healthcare services?,textarea,"State whether employees and workers have access to non-occupational medical and healthcare services. Describe the services provided (e.g., health check-ups, counseling).",
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Essential Indicators,11,"Details of safety-related incidents (LTIFR, recordable injuries, fatalities, high consequence injuries)",table,"Provide details of safety incidents including Lost Time Injury Frequency Rate (LTIFR), recordable injuries, fatalities, and high-consequence injuries during the year.",
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Essential Indicators,12,Measures taken by the entity to ensure a safe and healthy workplace,textarea,"Describe the measures taken by the entity to ensure a safe and healthy workplace, including safety equipment, training, audits, and hazard control measures.",
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Essential Indicators,13,Number of complaints on working conditions and health & safety made by employees and workers,table,"Provide the number of complaints made by employees and workers regarding working conditions, health, and safety during the financial year, categorized by status.",
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Essential Indicators,14,Percentage of plants and offices assessed for health and safety practices and working conditions,table,Provide the percentage of plants and offices assessed for health and safety practices and working conditions during the year.,
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Essential Indicators,15,Corrective action taken on safety-related incidents and significant risks from assessments,textarea,Describe the corrective actions taken in response to safety-related incidents and significant risks identified during health and safety assessments.,
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Leadership Indicators,1,Does the entity extend life insurance or compensatory package in the event of death of employees/workers?,radio,Select 'Yes' if the entity provides life insurance or a compensatory package to families in the event of death of an employee/worker during employment. Else 'No'.,"Yes|No"
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Leadership Indicators,2,Measures undertaken to ensure statutory dues have been deducted and deposited by value chain partners,textarea,"Describe measures taken to ensure that value chain partners deduct and deposit statutory dues such as PF, ESI, etc. for their employees/workers.",
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Leadership Indicators,3,Number of employees/workers with high consequence work-related injury/ill-health/fatalities who were rehabilitated,table,Provide the number of employees/workers who suffered high-consequence work-related injuries/ill-health/fatalities and were successfully rehabilitated.,
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Leadership Indicators,4,Does the entity provide transition assistance programs for continued employability/career endings?,radio,"Select 'Yes' if the entity provides transition assistance programs (e.g., retraining, outplacement) to support employees/workers at career endings. Else 'No'.","Yes|No"
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Leadership Indicators,5,"Details on assessment of value chain partners (health and safety, working conditions)",table,Provide details of assessments conducted on value chain partners regarding health and safety and working conditions. Include coverage and findings.,
section_c,"Principle 3: Businesses should respect and promote the well-being of all employees, including those in their value chains",3,Leadership Indicators,6,Corrective actions taken on significant risks from assessments of value chain partners,textarea,"Describe corrective actions taken in response to significant risks identified during assessments of value chain partners regarding health, safety, and working conditions.",
section_c,Principle 4: Businesses should respect the interests of and be responsive to all its stakeholders,4,Essential Indicators,1,Processes for identifying key stakeholder groups of the entity,textarea,"Describe the processes used to identify key stakeholder groups of the entity, including the methodology and frequency of identification.",
section_c,Principle 4: Businesses should respect the interests of and be responsive to all its stakeholders,4,Essential Indicators,2,List stakeholder groups identified as key and frequency of engagement with each group,table,"List the key stakeholder groups identified (e.g., employees, customers, suppliers, community, regulators) and specify the frequency of engagement with each.",
section_c,Principle 4: Businesses should respect the interests of and be responsive to all its stakeholders,4,Leadership Indicators,1,"Processes for consultation between stakeholders and the Board on economic, environmental and social topics",textarea,"Describe the processes and mechanisms for consultation between stakeholders and the Board of Directors on economic, environmental, and social topics.",
section_c,Principle 4: Businesses should respect the interests of and be responsive to all its stakeholders,4,Leadership Indicators,2,Whether stakeholder consultation is used to support identification/management of environmental/social topics,textarea,"Explain how stakeholder consultations are used to support the identification and management of environmental and social topics, risks, and opportunities.",
section_c,Principle 4: Businesses should respect the interests of and be responsive to all its stakeholders,4,Leadership Indicators,3,"Details of engagement with, and actions to address concerns of, vulnerable/marginalized stakeholder groups",textarea,Provide details of engagement activities with vulnerable/marginalized stakeholder groups and the actions taken to address their concerns.,
section_c,Principle 5: Businesses should respect and promote human rights,5,Essential Indicators,1,Employees and workers provided training on human rights issues and policy(ies) of the entity,table,Provide the percentage and details of employees and workers who received training on human rights issues and the entity's human rights policies during the year.,
section_c,Principle 5: Businesses should respect and promote human rights,5,Essential Indicators,2,Details of minimum wages paid to employees and workers,table,"Provide details of minimum wages paid to employees and workers, including comparison with statutory minimum wage rates and any deviations.",
section_c,Principle 5: Businesses should respect and promote human rights,5,Essential Indicators,3a,"Details of remuneration/salary/wages (Board of Directors, KMP, employees, workers)",table,"Provide details of remuneration/salary/wages paid to Board of Directors, KMPs, employees, and workers, including breakdown by gender and category.",
section_c,Principle 5: Businesses should respect and promote human rights,5,Essential Indicators,3b,Gross wages paid to females as % of total wages paid by the entity,table,Calculate and provide the percentage of gross wages paid to female employees/workers as a percentage of total wages paid by the entity.,
section_c,Principle 5: Businesses should respect and promote human rights,5,Essential Indicators,4,Focal point (individual/committee) responsible for addressing human rights impacts or issues,textarea,"Identify the focal point (individual/committee) responsible for addressing human rights impacts or issues, including contact details and responsibilities.",
section_c,Principle 5: Businesses should respect and promote human rights,5,Essential Indicators,5,Internal mechanisms in place to redress grievances related to human rights issues,textarea,"Describe the internal grievance redressal mechanisms available for reporting and addressing human rights-related grievances (discrimination, harassment, etc.).",
section_c,Principle 5: Businesses should respect and promote human rights,5,Essential Indicators,6,"Number of complaints made by employees and workers (sexual harassment, discrimination, child labor, forced labor, wages, other)",table,"Provide the number of complaints made by employees and workers on issues such as sexual harassment, discrimination, child labor, forced labor, wages, and other human rights issues.",
section_c,Principle 5: Businesses should respect and promote human rights,5,Essential Indicators,7,"Complaints filed under the Sexual Harassment of Women at Workplace (POSH) Act, 2013",table,"Provide details of complaints filed under the POSH Act, including number of complaints received, resolved, and pending. Include status of POSH committee formation.",
section_c,Principle 5: Businesses should respect and promote human rights,5,Essential Indicators,8,Mechanisms to prevent adverse consequences to the complainant in discrimination and harassment cases,textarea,Describe the mechanisms in place to protect complainants from victimization or adverse consequences in discrimination and harassment cases.,
section_c,Principle 5: Businesses should respect and promote human rights,5,Essential Indicators,9,Do human rights requirements form part of business agreements and contracts?,radio,Select 'Yes' if human rights clauses/requirements are included in business agreements and contracts with partners. Otherwise select 'No'.,"Yes|No"
section_c,Principle 5: Businesses should respect and promote human rights,5,Essential Indicators,10,Corrective actions taken on significant risks/concerns arising from assessments,textarea,Describe the corrective actions taken in response to significant human rights risks/concerns identified during assessments.,
section_c,Principle 5: Businesses should respect and promote human rights,5,Leadership Indicators,1,Details of business process modified/introduced because of addressing human rights grievances/complaints,textarea,Describe any business processes that were modified or introduced as a result of addressing human rights grievances/complaints.,
section_c,Principle 5: Businesses should respect and promote human rights,5,Leadership Indicators,2,Details of the scope and coverage of Human rights due diligence conducted,textarea,"Provide details of the human rights due diligence conducted during the year, including scope, coverage, methodologies, and key findings.",
section_c,Principle 5: Businesses should respect and promote human rights,5,Leadership Indicators,3,Is the premise/office of the entity accessible to differently abled visitors?,radio,"Select 'Yes' if the premises/offices are accessible to differently abled visitors (ramps, accessible washrooms, signage, etc.). Else 'No'.","Yes|No"
section_c,Principle 5: Businesses should respect and promote human rights,5,Leadership Indicators,4,"Assessment of value chain partners (sexual harassment, discrimination, child labor, forced labor, wages)",table,"Provide details of human rights assessments conducted on value chain partners covering sexual harassment, discrimination, child labor, forced labor, and wages.",
section_c,Principle 5: Businesses should respect and promote human rights,5,Leadership Indicators,5,Corrective actions taken on significant risks/concerns from value chain partner assessments,textarea,Describe corrective actions taken in response to significant human rights risks/concerns identified during value chain partner assessments.,
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Essential Indicators,1,Details of total energy consumption and energy intensity,table,Provide details of total energy consumption (in GJ or equivalent) from all sources (non-renewable and renewable) and energy intensity (per unit of production/turnover).,
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Essential Indicators,2,Sites/facilities identified as designated consumers (DCs) under the PAT Scheme; targets achieved,textarea,"List sites/facilities identified as Designated Consumers (DCs) under the Perform, Achieve and Trade (PAT) scheme and report performance against targets.",
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Essential Indicators,3,"Details related to water withdrawal, consumption and intensity",table,"Provide details of total water withdrawal, consumption, and water intensity (per unit of production/turnover), categorized by source.",
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Essential Indicators,4,Details related to water discharged by destination and level of treatment,table,"Provide details of water discharged by destination (surface water, groundwater, municipal supply, others) and by treatment level (primary, secondary, tertiary).",
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Essential Indicators,5,Has the entity implemented a mechanism for Zero Liquid Discharge?,textarea,State whether the entity has implemented Zero Liquid Discharge (ZLD) mechanisms. Describe the status of ZLD implementation across locations.,
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Essential Indicators,6,Details of air emissions (other than GHG emissions),table,"Provide details of air emissions other than GHGs, including particulate matter (PM2.5, PM10), NOx, SOx, and other pollutants. Include quantities and monitoring data.",
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Essential Indicators,7,Details of greenhouse gas emissions (Scope 1 and Scope 2) and intensity,table,"Provide details of Scope 1 (direct) and Scope 2 (indirect energy) greenhouse gas emissions in metric tons of CO2 equivalent, and GHG intensity.",
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Essential Indicators,8,Does the entity have any project related to reducing Greenhouse Gas emissions?,textarea,"Describe any projects/initiatives undertaken by the entity to reduce greenhouse gas emissions, including renewable energy projects, energy efficiency, etc.",
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Essential Indicators,9,"Details related to waste management by the entity (generated, recovered, disposed)",table,"Provide details of waste generated (hazardous and non-hazardous), waste recovered/recycled, and waste disposed, with quantities and methods.",
section_c,Principle 6: Businesses should respect and make efforts to protect and restore the environment,6,Essential Indicators,10,Waste management practices adopted; strategy to reduce hazardous/toxic chemicals usage,textarea,Describe the waste management practices adopted and the entity's strategy to reduce the use of hazardous/toxic chemicals in its operations.,
